Suburb,Population
GLENMORE,75
GLENORCHY,131
GLENORMISTON NORTH,63
GLENORMISTON SOUTH,123
GLENPATRICK,13
GLENROWAN,1049
GLENROWAN WEST,75
GLENROY,23792
GLENTHOMPSON,256
GLOMAR BEACH,21
GNARWARRE,297
GNOTUK,120
GOBARUP,45
GOBUR,102
GOLDEN BEACH,356
GOLDEN GULLY,213
GOLDEN POINT (BALLARAT - VIC.),2217
GOLDEN POINT (MOUNT ALEXANDER - VIC.),102
GOLDEN SQUARE,9220
GOLDIE,253
GOLDSBOROUGH,37
GONG GONG,6
GONN CROSSING,50
GOOMALIBEE,91
GOON NURE,137
GOONGERAH,31
GOORAM,141
GOORAMADDA,62
GOORAMBAT,269
GOORNONG,718
GOOROC,19
GORAE,236
GORAE WEST,237
GORDON,1393
GORMANDALE,324
GOROKE,295
GOSCHEN,35
GOUGHS BAY,328
GOULBURN WEIR,90
GOWANBRAE,2971
GOWANFORD,8
GOWANGARDIE,18
GOWAR EAST,23
GOWER,45
GRAHAMVALE,685
GRAMPIANS,0
GRAND RIDGE,10
GRANGEFIELDS,132
GRANITE ROCK,261
GRANTVILLE,1168
GRANYA,88
GRASSDALE,54
GRASSMERE,385
GRAYS BRIDGE,0
GRAYTOWN,60
GRE GRE,10
GRE GRE NORTH,13
GRE GRE SOUTH,19
GREAT WESTERN,425
GREDGWIN,13
GREEN GULLY,71
GREENDALE,623
GREENHILL,60
GREENS CREEK,52
GREENSBOROUGH,21070
GREENVALE,21274
GREENWALD,58
GRENVILLE,113
GRETA,86
GRETA SOUTH,131
GRETA WEST,157
GREY RIVER,4
GRINGEGALGONA,44
GRITJURK,61
GROVEDALE,14869
GRUYERE,966
GUILDFORD,330
GUNBOWER,578
GUNDOWRING,208
GUNYAH,0
GUYS FOREST,20
GUYS HILL,388
GYMBOWEN,60
HADDON,1276
HADFIELD,6269
HALLAM,11355
HALLORA,136
HALLS GAP,495
HALLSTON,157
HAMILTON,10346
HAMLYN HEIGHTS,6518
HAMPTON,13518
HAMPTON EAST,5069
HAMPTON PARK,26082
HANSONVILLE,155
HAPPY VALLEY (GOLDEN PLAINS - VIC.),87
HAPPY VALLEY (SWAN HILL - VIC.),75
HARCOURT,1038
HARCOURT NORTH,291
HARKAWAY,1011
HARKNESS,12463
HARMERS HAVEN,62
HARRIETVILLE,488
HARROW,184
HARSTON,167
HASTINGS,10369
HATTAH,27
HAVELOCK,83
HAVEN,1443
HAVILAH,22
HAWKESDALE,311
HAWKHURST,6
HAWTHORN,22322
HAWTHORN EAST,14834
HAZEL PARK,55
HAZELWOOD,189
HAZELWOOD NORTH,1552
HAZELWOOD SOUTH,289
HEALESVILLE,7589
HEATH HILL,189
HEATHCOTE,2962
HEATHCOTE JUNCTION,811
HEATHCOTE SOUTH,22
HEATHERTON,2826
HEATHMERE,238
HEATHMONT,9933
HEDLEY,108
HEIDELBERG,7360
HEIDELBERG HEIGHTS,6758
HEIDELBERG WEST,5252
HENSLEY PARK,75
HENTY,75
HEPBURN,631
HEPBURN SPRINGS,368
HERNE HILL,3507
HERNES OAK,365
HESKET,178
HESSE,14
HEXHAM,130
HEYFIELD,2050
HEYTESBURY LOWER,39
HEYWOOD,1815
HIAMDALE,36
HIAWATHA,18
HIGH CAMP,122
HIGHETT,12016
HIGHLANDS,151
HIGHTON,20736
HILGAY,29
HILL END,171
HILLCREST,99
HILLDENE,330
HILLSIDE (EAST GIPPSLAND - VIC.),290
HILLSIDE (MELTON - VIC.),17331
HINNOMUNJIE,21
HMAS CERBERUS,1124
HODDLES CREEK,676
HOLLANDS LANDING,28
HOMEBUSH,31
HOMERTON,36
HOMEWOOD,70
HOPETOUN,694
HOPETOUN PARK,914
HOPPERS CROSSING,37216
HORDERN VALE,44
HORFIELD,93
HORSHAM,15134
HOTHAM HEIGHTS,128
HOTSPUR,34
HOWES CREEK,67
HOWITT PLAINS,0
HOWQUA,158
HOWQUA HILLS,5
HOWQUA INLET,63
HUGHESDALE,7563
HUMEVALE,352
HUNTER,23
HUNTERSTON,20
HUNTINGDALE,1949
HUNTLY,3585
HUNTLY NORTH,46
HUON,206
HUON CREEK,320
HURSTBRIDGE,3554
ICY CREEK,28
IGUANA CREEK,51
ILLABAROOK,41
ILLAWARRA,80
ILLOWA,304
INDENTED HEAD,1391
INDIGO VALLEY,346
INGLEWOOD,886
INGLISTON,96
INVERGORDON,601
INVERLEIGH,1746
INVERLOCH,6526
INVERMAY,900
INVERMAY PARK,1692
IONA,240
IRAAK,118
IRISHTOWN,16
IRONBARK,1163
IRREWARRA,365
IRREWILLIPE,100
IRREWILLIPE EAST,84
IRYMPLE,5977
IVANHOE,13374
IVANHOE EAST,3762
JACANA,2187
JACK RIVER,161
JACKASS FLAT,1907
JACOB CREEK,28
JAM JERRUP,106
JAMIESON,382
JAN JUC,4151
JANCOURT,16
JANCOURT EAST,185
JARKLIN,49
JARRAHMOND,117
JARVIS CREEK,46
JEERALANG,76
JEERALANG JUNCTION,584
JEETHO,124
JEFFCOTT,34
JEFFCOTT NORTH,18
JEPARIT,476
JERICHO,0
JERUK,6
JIL JIL,17
